epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,657.498,1.58209,2.12106,1.45138,0.58718,0.64318,0.61165,0.34214,1.53443,1.39995,1.42555,0.0033316,0.0033316,0.0033316
2,1303.94,1.49506,1.3725,1.34282,0.56788,0.6477,0.59866,0.32566,1.56395,1.42677,1.44157,0.00653297,0.00653297,0.00653297
3,1946.58,1.57226,1.4977,1.3932,0.59481,0.56498,0.5473,0.27909,1.66829,1.68954,1.54049,0.00960234,0.00960234,0.00960234
4,2586.41,1.60354,1.54387,1.42352,0.63945,0.60545,0.58966,0.31292,1.63245,1.517,1.51376,0.009406,0.009406,0.009406
5,3226.32,1.55265,1.4283,1.39224,0.58332,0.66206,0.63072,0.35238,1.54939,1.46225,1.45196,0.009208,0.009208,0.009208
6,3865.33,1.51375,1.34451,1.3666,0.69619,0.67036,0.66989,0.38447,1.49135,1.2779,1.40417,0.00901,0.00901,0.00901
7,4505.04,1.48858,1.28763,1.35227,0.61839,0.70113,0.68538,0.40063,1.46374,1.16113,1.40007,0.008812,0.008812,0.008812
8,5145.45,1.46773,1.24676,1.33626,0.65137,0.70856,0.69531,0.4075,1.44925,1.16798,1.37079,0.008614,0.008614,0.008614
9,5787.46,1.44628,1.22103,1.32529,0.72035,0.70339,0.7063,0.41994,1.43235,1.16298,1.36009,0.008416,0.008416,0.008416
10,6427.49,1.433,1.18553,1.31404,0.72521,0.71953,0.71659,0.43436,1.4092,1.10394,1.33541,0.008218,0.008218,0.008218
11,7067.82,1.42464,1.16737,1.31064,0.72819,0.72738,0.72648,0.44087,1.39894,1.05651,1.33179,0.00802,0.00802,0.00802
12,7707.73,1.41243,1.14858,1.2977,0.67516,0.751,0.7346,0.45085,1.38417,1.06575,1.31344,0.007822,0.007822,0.007822
13,8347.78,1.40134,1.13267,1.29415,0.72462,0.74312,0.73581,0.45737,1.36313,1.03498,1.30033,0.007624,0.007624,0.007624
14,8987.57,1.39049,1.11069,1.28707,0.70695,0.75092,0.74143,0.46194,1.35541,1.0038,1.29937,0.007426,0.007426,0.007426
15,9627.88,1.37397,1.09501,1.2757,0.75307,0.74754,0.74765,0.46625,1.35069,0.99103,1.29181,0.007228,0.007228,0.007228
16,10268.4,1.36537,1.07573,1.27109,0.71575,0.76869,0.74891,0.47106,1.33274,0.97467,1.27455,0.00703,0.00703,0.00703
17,10908.7,1.36277,1.07225,1.26819,0.70277,0.76133,0.75286,0.47793,1.33002,0.93872,1.27308,0.006832,0.006832,0.006832
18,11549,1.35,1.05225,1.25897,0.69645,0.78682,0.75849,0.4819,1.32093,0.93076,1.26867,0.006634,0.006634,0.006634
19,12189,1.34237,1.04319,1.25747,0.69111,0.79202,0.75731,0.48286,1.31254,0.93471,1.26555,0.006436,0.006436,0.006436
20,12830.3,1.33873,1.03079,1.25242,0.6705,0.80817,0.75967,0.48745,1.30569,0.89453,1.25923,0.006238,0.006238,0.006238
21,13472,1.33335,1.02034,1.24967,0.67878,0.80093,0.76612,0.49301,1.3028,0.88067,1.25586,0.00604,0.00604,0.00604
22,14112.8,1.3199,1.00764,1.24408,0.69196,0.78961,0.76436,0.49127,1.29835,0.88256,1.25268,0.005842,0.005842,0.005842
23,14752.8,1.32303,0.9958,1.23911,0.68764,0.79626,0.7655,0.49478,1.29166,0.87005,1.24567,0.005644,0.005644,0.005644
24,15392.9,1.31561,0.98964,1.2411,0.68822,0.812,0.76674,0.49722,1.28846,0.87868,1.24388,0.005446,0.005446,0.005446
25,16033.8,1.3048,0.9758,1.23237,0.68439,0.81705,0.76772,0.49777,1.28763,0.88223,1.24308,0.005248,0.005248,0.005248
26,16674.3,1.29834,0.97358,1.22763,0.68209,0.82216,0.77075,0.49935,1.28512,0.87482,1.2411,0.00505,0.00505,0.00505
27,17314.2,1.29315,0.95553,1.22422,0.68478,0.81963,0.77066,0.50088,1.28114,0.86708,1.23814,0.004852,0.004852,0.004852
28,17954.2,1.29001,0.94858,1.22011,0.684,0.8198,0.77209,0.50302,1.27943,0.86027,1.23721,0.004654,0.004654,0.004654
29,18595.4,1.28689,0.94084,1.2189,0.69123,0.81797,0.77307,0.50487,1.27718,0.85876,1.23535,0.004456,0.004456,0.004456
30,19236.1,1.27918,0.93858,1.21563,0.69267,0.81856,0.77379,0.50672,1.27433,0.85671,1.23231,0.004258,0.004258,0.004258
31,19876.4,1.26935,0.92218,1.20916,0.6938,0.82133,0.77518,0.50712,1.27218,0.84958,1.23106,0.00406,0.00406,0.00406
32,20517.4,1.26315,0.91734,1.20256,0.69645,0.8169,0.77548,0.50808,1.27049,0.84774,1.22936,0.003862,0.003862,0.003862
33,21158,1.25983,0.9071,1.20316,0.69648,0.82095,0.77697,0.5095,1.26876,0.84421,1.22796,0.003664,0.003664,0.003664
34,21799.5,1.25486,0.89714,1.19814,0.6944,0.82538,0.7774,0.51007,1.26773,0.84286,1.22685,0.003466,0.003466,0.003466
35,22440.9,1.24683,0.88869,1.1955,0.69505,0.82556,0.77786,0.51124,1.26674,0.83852,1.22616,0.003268,0.003268,0.003268
36,23082.2,1.23682,0.88267,1.18688,0.69552,0.82523,0.77897,0.51211,1.26518,0.83609,1.22485,0.00307,0.00307,0.00307
37,23723,1.23309,0.86671,1.18499,0.69544,0.82603,0.77926,0.51301,1.26461,0.83479,1.22405,0.002872,0.002872,0.002872
38,24363.9,1.22205,0.86103,1.18065,0.69643,0.82817,0.7797,0.51371,1.26356,0.83518,1.2231,0.002674,0.002674,0.002674
39,25004.4,1.21548,0.85132,1.17617,0.69671,0.83023,0.77997,0.5145,1.26273,0.83419,1.2221,0.002476,0.002476,0.002476
40,25645.6,1.21089,0.84876,1.17563,0.69722,0.83122,0.77986,0.51434,1.26225,0.83206,1.22158,0.002278,0.002278,0.002278
41,26287.3,1.2023,0.74979,1.1899,0.69754,0.83196,0.77994,0.51489,1.26132,0.83044,1.22077,0.00208,0.00208,0.00208
42,26927.9,1.18729,0.73398,1.17667,0.69774,0.8332,0.78042,0.51546,1.26049,0.82884,1.22007,0.001882,0.001882,0.001882
43,27568.5,1.181,0.72036,1.17459,0.69836,0.83365,0.78072,0.51625,1.25932,0.82576,1.21915,0.001684,0.001684,0.001684
44,28208,1.17012,0.71133,1.16964,0.70004,0.8345,0.78116,0.51688,1.25818,0.8233,1.21826,0.001486,0.001486,0.001486
45,28848.6,1.16133,0.70064,1.16059,0.70181,0.83304,0.78135,0.51718,1.25716,0.8206,1.21729,0.001288,0.001288,0.001288
46,29488.1,1.14914,0.69175,1.15424,0.70321,0.8351,0.7815,0.5177,1.25619,0.81756,1.21661,0.00109,0.00109,0.00109
47,30127.8,1.13956,0.67933,1.14914,0.7047,0.83412,0.78185,0.51837,1.25528,0.81528,1.2161,0.000892,0.000892,0.000892
48,30768,1.12936,0.67107,1.14389,0.70545,0.83451,0.78214,0.51914,1.25482,0.81242,1.21555,0.000694,0.000694,0.000694
49,31408.3,1.12116,0.66339,1.14033,0.70633,0.8331,0.78186,0.51944,1.25382,0.80937,1.21491,0.000496,0.000496,0.000496
50,32048.4,1.11429,0.65769,1.13831,0.70715,0.83648,0.78219,0.51981,1.2532,0.80722,1.21454,0.000298,0.000298,0.000298
